No,Nama Lengkap,Prodi,Jenis Kelamin,Jarak Tempat Tinggal kesekolah(Km),Asal Sekolah,Tahun Lulus,SKS,Ikut Organisasi,Ikut UKM,IPK,Pekerjaan Orang Tua,Penghasilan,Tanggungan,Status Beasiswa,Status_KIP,Status_PKH
362.0,SINTIA NURHAYATI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK N 2 METRO,2020.0,19.0,Tidak,Ikut,3.78,Sudah Meninggal,Sedang,1.0,Tidak,Tidak,Ya
363.0,MUHAMMAD HABIB AKBAR HAQIQI HAZ,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMA N 2 PRINGSEWU,2020.0,19.0,Tidak,Ikut,2.84,Petani,Sedang,2.0,Tidak,Ya,Tidak
364.0,FINA ANJELINA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,PONDOK PESANTREN MA AL FATAH NATAR,2020.0,19.0,Tidak,Ikut,3.56,Wiraswasta,Sedang,3.0,Tidak,Ya,Tidak
365.0,YANAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMAN 1 LIWA,2020.0,19.0,Tidak,Ikut,3.63,Petani,Sedang,2.0,Tidak,Ya,Ya
366.0,WAHYU PRATAMA,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMAN 1 PRINGSEWU,2020.0,19.0,Ikut,Ikut,3.69,Wiraswasta,Sedang,3.0,Tidak,Tidak,Ya
367.0,WAYS AL QURNI AL FATH,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMA NEGERI 1 GUNUNG SUGIH,2020.0,19.0,Tidak,Ikut,2.96,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
368.0,RENDY NIFDIANTO,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMA NEGRI 2 KOTAAGUNG,2020.0,19.0,Tidak,Ikut,3.04,PNS,Sedang,3.0,Tidak,Ya,Tidak
369.0,M. ILHAM FADILLAH,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMA N 1 BANDAR MATARAM,2020.0,19.0,Tidak,Ikut,2.55,Pensiunan,Sedang,2.0,Tidak,Tidak,Ya
370.0,NISRINA ALIFAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA N 1 SENDANG AGUNG,2020.0,19.0,Tidak,Ikut,2.37,Petani,Sedang,1.0,Tidak,Tidak,Ya
371.0,INTAN SARASWATI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK N 7 BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,2.36,Wiraswasta,Sedang,1.0,Tidak,Tidak,Ya
372.0,MUHAMMAD RESTU ANANDA,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMA N 7 BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,3.36,Karyawan Swasta,Sedang,3.0,Tidak,Tidak,Ya
373.0,NADILA SALSABILA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK SMTI BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,3.0,PNS,Sedang,2.0,Tidak,Ya,Tidak
374.0,ADE RAMALIA SAFITRI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,MAN 1 PRINGSEWU,2020.0,19.0,Tidak,Ikut,2.99,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
375.0,RIZKI BRILLIAN FADLILLAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 01 WAY TENONG,2020.0,19.0,Tidak,Ikut,3.15,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
376.0,SEPTIANINGSIH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMKN 1 WAY TENONG,2020.0,19.0,Tidak,Ikut,3.21,Wiraswasta,Sedang,2.0,Tidak,Ya,Ya
377.0,POFI LIANA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA N 2 KALIANDA,2020.0,19.0,Tidak,Ikut,2.23,Wiraswasta,Sedang,2.0,Tidak,Ya,Ya
378.0,ANGGI SETIAWATI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK YP 96 BUKIT KEMUNING,2020.0,22.0,Ikut,Ikut,2.86,Wiraswasta,Sedang,1.0,Tidak,Ya,Tidak
379.0,ADELIA INTAN FATIMAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA NEGRI 1 KOTA METRO,2020.0,22.0,Tidak,Ikut,2.98,Wiraswasta,Sedang,2.0,Tidak,Ya,Tidak
380.0,ANISA NURKHASANAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA XAVERIUS PRINGSEWU,2020.0,22.0,Tidak,Ikut,3.41,Wiraswasta,Sedang,2.0,Tidak,Ya,Tidak
381.0,ULIA MAULIDA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMAN 17 BANDAR LAMPUNG,2020.0,22.0,Tidak,Ikut,3.16,Wiraswasta,Sedang,4.0,Tidak,Ya,Tidak
382.0,ELSA DEWI SANTIKA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA MUHAMMADIYAH GISTING,2020.0,22.0,Tidak,Ikut,3.31,Wiraswasta,Sedang,3.0,Tidak,Tidak,Tidak
383.0,EGYTA SYLVIANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK YPIB KOTABUMI,2020.0,22.0,Tidak,Ikut,3.19,Wiraswasta,Sedang,3.0,Tidak,Tidak,Ya
384.0,DEVI NURINDAH SAPIRA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA PERSADA BANDAR LAMPUNG,2019.0,22.0,Tidak,Ikut,3.23,Wiraswasta,Sedang,3.0,Tidak,Ya,Tidak
385.0,YOAN LADY FIRANKA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK N 7 BANDAR LAMPUNG,2020.0,22.0,Tidak,Ikut,3.51,PNS,Sedang,3.0,Tidak,Tidak,Ya
386.0,LULU MU'ZIZATUL KAROMAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA NEGERI 1 KALIANDA,2020.0,22.0,Tidak,Ikut,3.52,Wiraswasta,Sedang,3.0,Tidak,Tidak,Tidak
387.0,DILA EMILIA IKHWANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA NEGERI 1 KOTA AGUNG,2020.0,22.0,Tidak,Ikut,2.99,Wiraswasta,Sedang,3.0,Tidak,Tidak,Tidak
388.0,USMAN SUPENDI,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,MAN 1 PRINGSEWU,2020.0,22.0,Tidak,Ikut,3.28,Petani,Sedang,3.0,Tidak,Ya,Tidak
389.0,FATMA SARI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 16 BANDAR LAMPUNG,2020.0,22.0,Tidak,Ikut,3.02,Wirausaha,Sedang,3.0,Tidak,Ya,Ya
390.0,CAESAR DINDA SETIAWATI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK NEGERI 2 METRO,2020.0,22.0,Tidak,Ikut,3.18,Sudah Meninggal,Sedang,1.0,Tidak,Ya,Ya
391.0,FATIMATUZ ZAHRO,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMAN 1 LIMAU,2020.0,22.0,Tidak,Ikut,3.27,Pensiunan,Sedang,2.0,Tidak,Ya,Ya
392.0,LENNY OKTASARI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK N 7 BANDARLAMPUNG,2020.0,22.0,Tidak,Ikut,3.12,Sudah Meninggal,Sedang,2.0,Tidak,Ya,Tidak
393.0,BEKTI SUNANDA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK HAMPAR BAYDURI,2020.0,22.0,Tidak,Ikut,2.98,Petani,Sedang,2.0,Tidak,Tidak,Tidak
394.0,SALSABILA INDAH SEPTIANA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA NEGERI 1 MUARADUA,2020.0,22.0,Tidak,Ikut,3.12,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
395.0,YESI FITRIA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 1 BUMI AGUNG,2020.0,22.0,Tidak,Ikut,3.41,Petani,Sedang,1.0,Tidak,Ya,Ya
396.0,ABI FAHRU NABILA WINTORO,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMAS TMI ROUDLATUL QUR'AN METRO,2020.0,22.0,Tidak,Ikut,3.04,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
397.0,HANI DESTIANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,MAN 1 PESAWARAN,2020.0,22.0,Tidak,Ikut,3.42,Wiraswasta,Sedang,2.0,Tidak,Ya,Tidak
398.0,RIKA OKTAVIANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA NEGERI 1 BLAMBANGAN UMPU,2020.0,22.0,Tidak,Ikut,3.36,PNS,Sedang,1.0,Tidak,Tidak,Tidak
399.0,FATIKHATUL HIKMAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 1 KOTAAGUNG,2020.0,22.0,Tidak,Ikut,3.06,Pensiunan,Sedang,2.0,Tidak,Ya,Ya
400.0,SITI KHOTIJAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA N 2 PADANG CERMIN,2020.0,22.0,Tidak,Ikut,3.17,Petani,Sedang,1.0,Tidak,Ya,Tidak
401.0,MURSYIDAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA N 1 ULU BELU,2020.0,22.0,Tidak,Ikut,3.6,Wiraswasta,Sedang,2.0,Tidak,Ya,Ya
402.0,ELI LINDA SARI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 1 TALANGPADANG,2020.0,22.0,Tidak,Ikut,3.1,Karyawan Swasta,Sedang,3.0,Tidak,Ya,Ya
403.0,RATNAWATI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 7 BANDAR LAMPUNG,2020.0,22.0,Tidak,Ikut,3.25,PNS,Sedang,2.0,Tidak,Tidak,Ya
404.0,TRI NAYA ISLAMI FASYA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA NEGERI 1 GEDONG TATAAN,2020.0,22.0,Tidak,Ikut,3.17,Wiraswasta,Sedang,3.0,Tidak,Tidak,Ya
405.0,BTARI BAROIROH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK YP 96 BUKIT KEMUNING,2020.0,22.0,Tidak,Ikut,3.29,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
406.0,AZIMA SRI ADITIANINGSIH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK NEGERI 7 BANDAR LAMPUNG,2020.0,22.0,Tidak,Ikut,3.27,Wiraswasta,Sedang,3.0,Tidak,Ya,Ya
407.0,ZAKIA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA N 1 SUNGKAI UTARA,2020.0,22.0,Tidak,Ikut,3.12,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
408.0,FERRY IRAWAN,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMAN 1 CUKUH BALAK,2020.0,22.0,Tidak,Ikut,3.44,Wiraswasta,Sedang,1.0,Tidak,Tidak,Tidak
409.0,NINDIA PRIMASARI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMAN 1 GEDUNG MENENG,2020.0,22.0,Tidak,Ikut,3.27,Wiraswasta,Sedang,1.0,Tidak,Ya,Ya
410.0,DWI DHARMAWATI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,MAN 1 PRINGSEWU,2020.0,22.0,Tidak,Ikut,3.1,Wiraswasta,Tinggi,3.0,Tidak,Ya,Tidak
411.0,FIDIA SEMA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020.0,22.0,Tidak,Ikut,3.01,Wiraswasta,Sedang,2.0,Tidak,Ya,Tidak
412.0,IMAM LUTHFIE MAAJID,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMAN 1 BANYUMAS,2020.0,22.0,Tidak,Ikut,3.21,Wiraswasta,Rendah,2.0,Tidak,Ya,Tidak
413.0,INDRA GUNAWAN,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMA NEGERI 1 WAY TENONG,2020.0,22.0,Tidak,Ikut,3.12,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
414.0,FIKA KHUSNUL KHOTIMAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 1 PARDASUKA,2020.0,22.0,Tidak,Ikut,3.03,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
415.0,SRI LASTARI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK MUHAMMADIYAH 3 METRO,2020.0,22.0,Tidak,Ikut,3.33,PNS,Rendah,2.0,Tidak,Tidak,Tidak
416.0,AHYATUN NADHOFA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020.0,22.0,Tidak,Ikut,2.59,Wiraswasta,Tinggi,1.0,Tidak,Ya,Ya
417.0,SELVI WULANDARI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA NEGERI 1 MUARADUA,2020.0,22.0,Tidak,Ikut,3.33,Wiraswasta,Tinggi,2.0,Tidak,Ya,Tidak
418.0,NOVITASARI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 1 KIBANG,2020.0,22.0,Tidak,Ikut,3.32,Petani,Sedang,2.0,Tidak,Ya,Tidak
419.0,ULLYATUL KAMELIAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK BUMI NUSANTARA,2020.0,22.0,Tidak,Ikut,3.16,Wirausaha,Tinggi,4.0,Tidak,Tidak,Ya
420.0,DEFRILIA RAMADES RAHARJO,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMA N 1 KOTA AGUNG,2020.0,22.0,Tidak,Ikut,3.07,Sudah Meninggal,Sedang,3.0,Tidak,Tidak,Tidak
421.0,IMAM TAUFIK,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMK HAMPAR BAIDURI,2020.0,22.0,Tidak,Ikut,2.92,Pensiunan,Sedang,3.0,Tidak,Ya,Ya
422.0,SIVI RAHAYU,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA NEGRI 1 AMBARAWA,2020.0,22.0,Tidak,Ikut,3.64,Sudah Meninggal,Sedang,3.0,Terima,Tidak,Ya
423.0,ULFA OKTA NUR JAMILAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,MAN 3 PALEMBANG,2020.0,22.0,Tidak,Ikut,2.41,Petani,Tinggi,3.0,Tidak,Tidak,Ya
424.0,FANISA SALSABILA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMAN 1 TUMUJAJAR,2020.0,22.0,Tidak,Ikut,3.21,Wiraswasta,Tinggi,3.0,Tidak,Ya,Ya
425.0,FATKHUL KURNIAWAN,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMK NEGERI 2 METRO,2020.0,22.0,Tidak,Ikut,3.16,Petani,Tinggi,3.0,Tidak,Tidak,Ya
426.0,MUTHIA KARTIKA HAPSARI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK AL QOLAM KOTA AGUNG,2020.0,22.0,Tidak,Ikut,3.23,Wiraswasta,Tinggi,3.0,Tidak,Tidak,Tidak
427.0,JULIA NURUL HIDAYATI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 15 BANDAR LAMPUNG,2020.0,22.0,Tidak,Ikut,3.15,Wiraswasta,Tinggi,3.0,Tidak,Ya,Ya
428.0,SALFADA WELLY OKTAFIANSYA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 01 PARDASUKA,2020.0,22.0,Tidak,Ikut,3.11,PNS,Tinggi,1.0,Tidak,Ya,Ya
429.0,MELINDA SEPTA DELA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 01 AIR NANINGAN,2020.0,22.0,Tidak,Ikut,3.08,Pensiunan,Tinggi,2.0,Tidak,Ya,Tidak
430.0,BAGAS WIRA SASMITA,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMAN 1 SUKOHARJO,2020.0,22.0,Tidak,Ikut,2.88,Petani,Tinggi,2.0,Tidak,Tidak,Tidak
431.0,KULSUM,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK MUHAMMADIYAH 3 METRO,2020.0,22.0,Ikut,Ikut,3.22,Wiraswasta,Tinggi,2.0,Tidak,Tidak,Ya
432.0,NELI PRATIWI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK MUHAMMADIYAH 3 METRO,2020.0,22.0,Tidak,Ikut,3.16,Karyawan Swasta,Sedang,2.0,Tidak,Ya,Ya
433.0,DUTA YANDA PRADANA,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMK MUHAMMADIYAH 3 METRO,2020.0,22.0,Tidak,Ikut,3.18,PNS,Tinggi,1.0,Tidak,Tidak,Ya
434.0,ARUM PRASETYAWATI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,MAN 1 METRO,2019.0,22.0,Tidak,Ikut,3.26,Wiraswasta,Sedang,2.0,Tidak,Ya,Tidak
435.0,ALFI KHOIRUN NISA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK KH.GHALIB PRINGSEWU,2020.0,22.0,Tidak,Ikut,3.26,Wiraswasta,Sedang,2.0,Tidak,Ya,Ya
436.0,IQLIMA GANDIS,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMA MUHAMMADIYA 01 PRINGSEWU,2020.0,22.0,Tidak,Ikut,3.37,Wiraswasta,Rendah,1.0,Tidak,Ya,Ya
437.0,EKA PRAYUDA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA NEGERI 1 ADILUWIH,2020.0,22.0,Tidak,Ikut,3.21,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
438.0,ANGGA PRASETYA,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,MA AL-MIZAN,2020.0,22.0,Tidak,Ikut,3.26,Wiraswasta,Rendah,1.0,Tidak,Tidak,Ya
439.0,ANNIDA ISTIQOMAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 2 KOTAAGUNG,2020.0,22.0,Tidak,Ikut,3.32,Wiraswasta,Rendah,2.0,Tidak,Ya,Tidak
440.0,NADIYA FEBY AULIA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMAN 1 MENGGALA,2020.0,22.0,Ikut,Ikut,3.58,Wiraswasta,Tinggi,3.0,Tidak,Tidak,Tidak
441.0,ABYNIZAR MIROJJUL FIKRY,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMA N 2 PRINGSEWU,2020.0,24.0,Tidak,Ikut,3.0,Wiraswasta,Rendah,2.0,Tidak,Ya,Ya
442.0,ALDA FAUZIA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA MUHAMMADIYAH GISTING,2020.0,24.0,Tidak,Ikut,3.58,Wiraswasta,Sedang,3.0,Tidak,Tidak,Ya
443.0,AHMAD ATHOULLAH,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMAN 1 PRINGSEWU,2020.0,24.0,Tidak,Ikut,0.42,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
444.0,ALFINA MAHARANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA NEGERI 1 RUMBIA,2020.0,24.0,Tidak,Ikut,3.16,Wiraswasta,Rendah,3.0,Tidak,Ya,Tidak
445.0,ANISA DWI LESTARI,Pendidikan Matematika | Reguler,P,Jauh,SMAN 1 KRUI,2020.0,24.0,Tidak,Ikut,3.26,PNS,Tinggi,2.0,Tidak,Tidak,Tidak
446.0,ASIHATI,Pendidikan Matematika | Reguler,P,Dekat,SMAN 1 TALANGPADANG,2020.0,24.0,Tidak,Ikut,3.11,Wiraswasta,Tinggi,1.0,Tidak,Ya,Ya
447.0,ANDRY AGUS HERMAWAN,Pendidikan Matematika | Reguler,L,Dekat,SMA NEGERI 4 KOTA TANGERANG,2020.0,24.0,Tidak,Ikut,3.11,Wiraswasta,Sedang,1.0,Tidak,Ya,Tidak
448.0,HANIFAH FATIMATUS ZAHRA,Pendidikan Matematika | Reguler,P,Dekat,SMK FARMASI KESUMA BANGSA BANDAR LAMPUNG,2020.0,24.0,Ikut,Ikut,3.49,Petani,Sedang,3.0,Tidak,Tidak,Ya
449.0,INDAH RAHMAWATI,Pendidikan Matematika | Reguler,P,Dekat,SMA N2 PRINGSEWU,2020.0,24.0,Ikut,Ikut,3.59,Wirausaha,Tinggi,2.0,Tidak,Ya,Ya
450.0,CINTA FEBIANA ALFAUZI,Pendidikan Matematika | Reguler,P,Jauh,SMK N 2 METRO,2020.0,24.0,Ikut,Ikut,3.42,Sudah Meninggal,Tinggi,2.0,Tidak,Tidak,Tidak
451.0,NAZIATU ROHMA GUNAWAN,Pendidikan Matematika | Reguler,L,Dekat,SMA N 2 PRINGSEWU,2020.0,24.0,Tidak,Ikut,3.54,Pensiunan,Tinggi,2.0,Tidak,Ya,Ya
452.0,NAVISA SAVIRA,Pendidikan Matematika | Reguler,P,Jauh,PONDOK PESANTREN MA AL FATAH NATAR,2020.0,24.0,Tidak,Ikut,3.51,Sudah Meninggal,Sedang,2.0,Tidak,Ya,Ya
453.0,SATRI HAZROSA MARLINDA,Pendidikan Matematika | Reguler,P,Jauh,SMAN 1 LIWA,2020.0,24.0,Tidak,Ikut,3.43,Petani,Tinggi,2.0,Tidak,Ya,Ya
454.0,VEGA NINDI LARASATI,Pendidikan Matematika | Reguler,P,Dekat,SMAN 1 PRINGSEWU,2020.0,24.0,Tidak,Ikut,3.8,Wiraswasta,Sedang,4.0,Terima,Ya,Tidak
455.0,LASTARI AGUSTIN,Pendidikan Matematika | Reguler,P,Jauh,SMA NEGERI 1 GUNUNG SUGIH,2020.0,24.0,Tidak,Ikut,3.33,Petani,Sedang,2.0,Tidak,Ya,Tidak
456.0,IRMA SEPTIANY,Pendidikan Matematika | Reguler,P,Dekat,SMA NEGRI 2 KOTAAGUNG,2020.0,24.0,Tidak,Ikut,3.52,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
457.0,ERNI SULISTIOWATI,Pendidikan Matematika | Reguler,P,Jauh,SMA N 1 BANDAR MATARAM,2020.0,24.0,Tidak,Ikut,3.46,Wiraswasta,Tinggi,4.0,Tidak,Ya,Ya
458.0,IMELDA ADELIA PUTRI,Pendidikan Matematika | Reguler,P,Jauh,SMA N 1 SENDANG AGUNG,2020.0,24.0,Tidak,Ikut,3.22,PNS,Tinggi,3.0,Tidak,Tidak,Tidak
459.0,PITA LOKA,Pendidikan Matematika | Reguler,P,Dekat,SMK N 7 BANDAR LAMPUNG,2020.0,24.0,Tidak,Ikut,2.78,Pensiunan,Tinggi,3.0,Tidak,Ya,Ya
460.0,PUTRI MEILIANA,Pendidikan Matematika | Reguler,P,Jauh,SMA N 7 BANDAR LAMPUNG,2020.0,24.0,Tidak,Ikut,2.36,Petani,Tinggi,3.0,Tidak,Ya,Tidak
461.0,HENDITA MUTIARA PUTRI,Pendidikan Matematika | Reguler,P,Jauh,SMK SMTI BANDAR LAMPUNG,2020.0,24.0,Tidak,Ikut,3.41,Wiraswasta,Tinggi,3.0,Tidak,Ya,Ya
462.0,DEVI RETNO WULANDARI,Pendidikan Matematika | Reguler,P,Dekat,MAN 1 PRINGSEWU,2020.0,24.0,Tidak,Ikut,2.94,Karyawan Swasta,Tinggi,3.0,Tidak,Ya,Ya
463.0,DIAH AJENG KURNIAWATI,Pendidikan Matematika | Reguler,P,Dekat,SMK2 MEI BANDAR LAMPUNG,2020.0,24.0,Tidak,Ikut,3.49,PNS,Tinggi,3.0,Tidak,Ya,Tidak
464.0,FADHILAH TIARA PUTRI,Pendidikan Matematika | Reguler,P,Jauh,SMKN 1 BARADATU,2020.0,24.0,Tidak,Ikut,3.6,Wiraswasta,Tinggi,3.0,Tidak,Tidak,Tidak
465.0,A'TINI NISATUL KHAMIDAH,Pendidikan Matematika | Reguler,P,Jauh,SMA N 2 KALIANDA,2020.0,24.0,Tidak,Ikut,3.68,Wiraswasta,Tinggi,3.0,Tidak,Ya,Ya
466.0,MUHAMMAD YONANDO FAHREZY,Pendidikan Matematika | Reguler,L,Jauh,SMK YP 96 BUKIT KEMUNING,2020.0,24.0,Tidak,Ikut,3.39,Wiraswasta,Sedang,1.0,Tidak,Tidak,Ya
467.0,AYU PUTRI FATIKHATUN,Pendidikan Matematika | Reguler,P,Jauh,SMA NEGRI 1 KOTA METRO,2020.0,24.0,Tidak,Ikut,3.48,Wiraswasta,Tinggi,2.0,Tidak,Tidak,Ya
468.0,MUHAMMAD AL-AZZIZ,Pendidikan Matematika | Reguler,L,Dekat,SMA XAVERIUS PRINGSEWU,2020.0,24.0,Tidak,Ikut,2.43,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
469.0,DANDI DWI RAMADHAN,Pendidikan Matematika | Reguler,L,Jauh,SMAN 17 BANDAR LAMPUNG,2020.0,24.0,Tidak,Ikut,3.62,Wiraswasta,Sedang,2.0,Tidak,Ya,Tidak
470.0,SITI ROHANI,prodi,P,Dekat,SMA MUHAMMADIYAH GISTING,2020.0,24.0,Tidak,Ikut,3.53,Wiraswasta,Rendah,2.0,Tidak,Tidak,Ya
471.0,ANNISA FITRI,S1 Farmasi | Reguler,P,Jauh,SMK YPIB KOTABUMI,2019.0,24.0,Tidak,Ikut,2.84,Wiraswasta,Sedang,1.0,Tidak,Tidak,Ya
472.0,VIVI NUR AZIZAH,S1 Farmasi | Reguler,P,Dekat,SMA PERSADA BANDAR LAMPUNG,2020.0,24.0,Tidak,Ikut,3.14,Wiraswasta,Rendah,2.0,Tidak,Tidak,Tidak
473.0,ESTI ANDARESTA ARI YUSPETA,S1 Farmasi | Reguler,P,Jauh,SMK N 7 BANDAR LAMPUNG,2020.0,24.0,Tidak,Ikut,3.49,Wiraswasta,Rendah,2.0,Tidak,Ya,Tidak
474.0,NOVITA SARI,S1 Farmasi | Reguler,P,Jauh,SMA NEGERI 1 KALIANDA,2020.0,24.0,Tidak,Ikut,2.69,Wiraswasta,Tinggi,1.0,Tidak,Tidak,Tidak
475.0,GILANG LAKSANA PUTRA,S1 Farmasi | Reguler,L,Jauh,SMA NEGERI 1 KOTA AGUNG,2020.0,24.0,Tidak,Ikut,3.64,PNS,Rendah,2.0,Tidak,Tidak,Tidak
476.0,M DWI CAHAYA,S1 Farmasi | Reguler,P,Dekat,MAN 1 PRINGSEWU,2020.0,24.0,Tidak,Ikut,3.45,Wiraswasta,Sedang,1.0,Tidak,Tidak,Tidak
477.0,DIVA MAHARANI,S1 Farmasi | Reguler,P,Jauh,SMA N 16 BANDAR LAMPUNG,2020.0,24.0,Tidak,Ikut,2.85,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
478.0,MIFTAH SABILLA ALFIANTI,S1 Farmasi | Reguler,P,Jauh,SMK NEGERI 2 METRO,2020.0,24.0,Tidak,Ikut,3.2,Petani,Rendah,3.0,Tidak,Tidak,Tidak
479.0,RIO MARTIN,S1 Farmasi | Reguler,L,Jauh,SMAN 1 LIMAU,2020.0,24.0,Tidak,Ikut,2.74,Wirausaha,Tinggi,2.0,Tidak,Ya,Tidak
